probeset,hgnc
67054_at,SULT1C2
67065_at,OCM2
67076_at,ANKH
67083_at,ID3
67092_at,PPFIA1
67109_at,TEDDM1
67114_at,NRG4
67122_at,LINC00539
67124_at,CEP57
67126_at,LRRC27
67131_at,ZNF44
67136_at,PRR16
67138_at,THADA
67145_at,VIL1
67147_at,DSN1
67149_at,EHMT1
67153_at,ZNF385D-AS1
67162_r_at,LUZP1
67174_r_at,RELN
67180_at,KATNAL1
67182_at,GFOD2
67192_at,PHF19
67196_at,CSNK1G1
67198_at,UFSP1///ACHE
67201_at,NRCAM
67203_at,SCLY
67217_at,MAN2A2
67219_at,TAOK3
67230_at,PRMT2
67245_at,IFT43
67250_at,ANKRD26
67262_at,SEC23IP
67269_at,SLC5A10
67270_at,NCOR2
67292_at,PDE4DIP
67302_at,ZBTB3
67304_at,TMEM178B
67314_at,PPP5D1
67326_r_at,RBM41
67331_at,FAM92A1P1///FAM92A1
67342_at,LRRC33
67354_at,GRXCR1
67380_at,TMPRSS2
67386_r_at,CENPK
67401_at,DDX60L
67407_at,PPCS
67419_at,PLEKHH1
67421_at,PSMD2
67424_at,SMARCC1
67426_at,NKAP
67427_at,AKAP9
67441_at,HIF1AN
67447_at,STIM1
67448_at,PCDHB19P
67455_at,ETV2
67488_at,MKL2
67499_at,CNOT7
67512_at,ENOX1-AS2
67517_at,GRIK4
67521_at,ZNF131
67530_at,PIGG
67535_at,CDH6
67547_at,BCL2L14
67551_at,C8orf47
67565_r_at,GUSBP1///LINC00680
67577_at,TECPR1
67579_at,HPS3
67584_at,SLC16A8
67592_f_at,HNRNPA1P10///HNRNPA1L2///HNRNPA1
67594_at,SLC35E2B///SLC35E2
67595_r_at,NOVA1
67607_at,GDF7
67616_at,SLC2A11
67620_at,ARAP2
67622_at,TET2-AS1
67635_r_at,SLC5A1
67646_f_at,EXOSC8
67661_r_at,GIGYF2
67664_at,B3GNTL1
67672_r_at,KLHL6
67681_at,KCNJ11
67682_at,QRFPR
67684_at,CYBASC3
67687_at,HMGB1
67694_f_at,PSMD7
67710_at,SSR3
67717_at,USP15
67728_r_at,DNASE1
67730_at,PRR26
67732_at,PRR26
67743_at,CALM1
67754_at,FAM216B
67759_r_at,TIA1
67776_r_at,C12orf55
67778_at,EMX2OS
67812_at,TBX22
67835_at,MALAT1
67842_at,CREB5
67849_at,ZFYVE20
67867_at,LINC00029
67920_g_at,RBM6
67932_at,AMBRA1
67957_at,COL16A1
67967_at,RNF145
67983_g_at,DHX9
67986_at,DST
67988_at,CEP41
68001_at,MAP7D3
68012_at,ZNF182
68021_at,DNASE1L3
68043_at,PXK
68046_at,ATG12
68056_at,E4F1
68058_at,IL20RA
68064_at,ERICH2
68081_at,KCP
68087_at,ZC3H6
68092_at,WDR11
68103_at,COBL
68105_s_at,MAMLD1
68122_at,PFKP
68151_at,LINC00348
68165_at,TTC17
68258_at,SDK1
68293_at,TPM4
68301_at,ELL2
68315_at,PGAM1
68339_at,TGFBI
68343_at,LINC00645
68350_s_at,BCRP1///BCRP3///BCRP4///BCR
68357_at,UTS2R
68362_at,LIPH
68373_r_at,METTL14
68383_at,SPDYE4
68385_at,CLYBL
68387_r_at,ATP6V0A2
68399_r_at,SLFN12
68420_i_at,HLA-DOB
68422_r_at,HLA-DOB
68436_at,NFAT5
68453_at,IFLTD1
68457_at,FCRL2
68460_at,METTL15P1///METTL15
68465_at,HAND2
68466_at,TTC26
68469_at,LAP3
68471_at,NR2F2-AS1
68472_at,RFX3
68474_at,NOC2L
68478_at,HIC1
68488_at,AKNAD1
68490_at,C21orf62
68509_at,PCTP
68526_at,LINC00651
68536_at,ZNF770
68540_at,RBPMS
68548_at,CD36
68551_at,KRT7
68558_at,LINC00690
68569_at,LIPG
68578_g_at,KIAA0196
68594_at,USP34
68600_at,CBL
68608_at,ANAPC1
68610_at,MTMR8
68612_r_at,LDHAL6A
68616_at,NRIP2
68628_at,FCRL6
68633_s_at,POLDIP3
68635_at,SLC5A2
68639_at,HAP1
68641_at,IQGAP2
68649_at,PCGF5
68668_at,ZNF582
68675_at,EIF4E3
68678_r_at,ZFP30
68680_at,OTX1
68700_r_at,EPN3///SPATA20
68706_at,TTC28-AS1
68720_at,TEPP
68729_at,UBE2W
68733_at,XPO4
68736_at,NXPE3
68737_at,SLCO5A1
68739_at,ALS2CR8
68741_at,RANBP3L
68746_at,TOP3B
68756_at,IKZF2
68758_at,CCNL1
68760_at,ERN2
68762_r_at,MRPS14
68778_at,P2RY6
68781_at,CAND1
68784_at,ABCC11
68790_at,NDUFB2
68793_at,SLC6A14
68800_at,CD8B
68809_at,NUCKS1
68811_at,TMEM233
68816_at,CARD6
68826_at,ZMYND8
68834_at,MICAL3
68835_at,SLC6A7
68838_r_at,HAS2-AS1
68850_at,LCN6
68852_at,LCN6
68862_at,TRMT10B
68865_r_at,ADAM10
68869_at,OGG1
68873_at,PHF20L1
68878_at,ARRDC4
68880_at,PARD3B
68886_r_at,KDM4B
68896_at,DACT3-AS1
68901_at,LMLN
68902_at,FAM153A///FAM153C///FAM153B
68917_at,CAPN8
68937_at,IFI44L
68943_at,IGKJ5///IGKJ4
68947_at,SHROOM1
68953_at,SUPT5H
68955_at,ANKRD18A
68959_at,NARG2
68969_at,ERICH1
68971_r_at,TUBE1
68981_at,WDR7
68987_at,PLB1
68988_at,CMTM4
69013_at,CAPS2
69030_f_at,ZNF675
69038_at,ELAVL4
69042_at,KDM4C
69047_at,THOC5
69053_at,ARNTL2
69072_at,PLK1S1
69074_g_at,PLK1S1
69076_at,PLK1S1
69080_at,DNPEP
69085_s_at,SEC24D
69092_at,MAPK10
69107_at,ENPEP
69115_at,FAM110D
69117_at,ZDHHC20P1
69120_at,GRAMD1C
69127_at,RPN2
69129_at,HTRA4
69139_at,DCUN1D2-AS2
69149_at,TMPRSS11E
69152_at,BTBD11
69156_at,ATG2A
69162_at,MXD1
69166_at,KCNMB2-IT1
69169_at,ARHGEF7
69172_at,ZNF706
69181_at,IKZF4
69192_at,NUS1
69201_at,DAPK3
69213_at,GRTP1-AS1
69214_at,CMC1
69231_at,KLHDC1
69285_at,PCM1
69303_at,ALCAM
69309_at,SCML4
69318_at,GTF2H5
69336_at,ARMC4
69338_at,SMG6
69343_at,ANKRD13C
69345_at,ARHGEF5
69394_at,TMEM30B
69396_at,FRS2
69399_g_at,FRS2
69401_at,FRS2
69432_at,DRAXIN
69436_at,SBSPON
69447_at,C1orf85
69448_i_at,SUN5
69450_r_at,SUN5
69458_f_at,ZNF506
69467_at,DCBLD1
69483_at,GPC6-AS1
69485_at,CDKL3
69488_g_at,CDKL3
69494_at,C2CD4A
69509_f_at,LNPEP
69511_r_at,LNPEP
69517_at,PEX16
69523_at,HTT
69524_at,NPEPL1
69526_at,PPL
69528_r_at,ZW10
69540_at,MKI67
69550_at,POF1B
69557_g_at,ERN1
69559_i_at,CD320
69562_r_at,CD320
69567_at,TSPAN3
69587_at,FIP1L1
69595_at,MED13
69599_at,RAB36
69601_g_at,RAB36
69616_at,ZNF821
69627_at,TPGS1
69657_at,TNIP1
69667_at,HDAC3
69680_at,CCR9
69683_at,NLRC5
69687_at,POLR3F
69709_r_at,BOD1L1
69717_at,RQCD1
69765_at,TMEM25
69766_at,B4GALT4-AS1
69770_at,MOB1B
69771_at,ATP8B4
69783_at,MACF1
69785_at,PAPOLB
69816_at,PRR7-AS1
69820_at,MAP3K8
69825_r_at,DCAF15
69832_at,MARK1
69836_at,EHMT2-AS1
69840_at,FARP1
69847_at,CHRNA7
69853_at,TMEM154
69863_at,EMC1
69874_at,CSNK1G1
69877_at,ADAM5
69878_at,DEAF1
69882_s_at,BTBD7
69884_at,FAM186A
69887_at,TRBV7-1
69893_at,IGJ
69899_at,KLHL4
69906_at,DCLK3
69923_at,CACNA1A
69934_at,ANKRD30BP2
69959_at,RD3L
69966_at,C2orf81
69970_at,BRMS1L
69985_at,REL
69987_at,NAALADL2
70004_at,HOXA-AS4
70018_at,VWA5B1
70023_at,STEAP4
70033_r_at,CCDC18
70047_at,TSPAN10
70049_at,TMEM232
70080_at,HOMEZ
70085_f_at,FXN
70097_at,IDO1
70099_g_at,IDO1
70102_at,IGHM
70115_at,CEP63
70138_at,TMTC1
70142_at,ERBB3
70154_at,ZNF391
70158_at,KXD1
70163_at,PPARGC1A
70165_at,TTN-AS1
70181_at,CACNA1C-IT2
70187_at,FMNL2
70204_at,CDYL2
70206_at,ZFAND1
70225_r_at,FOXM1
70227_at,PKHD1
70243_at,KDM2A
70257_i_at,NAGPA
70263_r_at,DAZAP2
70292_at,VPS35
70310_f_at,TCL6
70313_at,PFDN6
70316_at,SSH2
70320_at,FAM129C
70358_s_at,FUT10
70363_at,TMOD2
70372_at,TEX35
70375_at,TTC6
70378_at,WFDC10B
70382_at,POLK
70391_at,EFCAB4B
70395_at,ETV6
70399_at,CNTN4
70401_at,ZNF845
70407_at,PTPN4
70412_at,GXYLT1
70419_at,TIGIT
70421_r_at,ARMCX4
70429_at,SH2D6
70458_i_at,GBP4
70460_f_at,GBP4
70474_at,PTDSS2
70475_at,HS3ST1
70487_at,CYB5B
70490_at,CCRL1
70494_i_at,TMEM14B
70496_f_at,TMEM14B
70506_at,HS3ST5
70514_at,TTC34
70519_at,EPB41L5
70525_at,SBF2
70545_at,SEC31A
70547_at,ESF1
70549_at,RBM23
70558_at,LACC1
70559_at,ING5
70565_at,FAM172A
70570_at,KIAA1919
70576_r_at,ASRGL1
70620_i_at,NAA40
70621_f_at,NAA40
70633_at,PDK4
70656_at,MIPOL1
70660_at,APP
70664_at,RNF145
70666_at,IQCF1
70668_at,NYAP2
70669_at,ANKRD30BP3
70682_at,YME1L1
70685_at,MAP4
70697_at,C8orf31
70699_at,BPTF
70701_at,WDR88
70708_at,LARGE
70717_at,VAV2
70723_at,TERC
70726_at,ITPKB
70732_at,LINC00698
70738_at,TSGA10
70752_at,ASXL1
70753_g_at,ASXL1
70766_at,RBM4
70770_at,TRA2B
70775_at,STRN
70780_at,SFTA2
70783_at,DENND6A
70791_at,M1AP
70796_r_at,PPP2R3A
70809_at,TMEM239
70817_r_at,PSIP1
70825_at,ADAM28
70826_at,ZNFX1
70834_at,MOB3B
70843_at,FAM149B1///DNAJC9-AS1
70844_at,LCOR
70864_at,C2orf15///MRPL30
70882_at,TMEM156
70892_at,SCARNA16///LINC00338
70903_r_at,GALNT16
70916_at,TTC31
70918_at,CEP41
70927_at,TSPYL1
70936_at,CAPN8
70940_at,SPRTN
70942_at,POLR2H
70944_at,STAT3
70950_at,BEGAIN
70952_at,KIAA1841
70954_at,WDR92///PPP3R1
70956_f_at,CHPT1
70958_at,CACNG6
70960_at,ADAMTS9-AS1
70981_at,EIF4E2
70987_i_at,LCMT1
70989_r_at,LCMT1
70990_at,KL
70993_at,CLDND1///CPOX
71002_at,WDR72
71005_at,STARD13-IT1
71015_r_at,CNR2
71022_at,REPIN1
71029_s_at,ANK3
71040_at,PSMA6
71042_f_at,VPS29
71060_at,LINC00387
71067_at,CASD1
71091_at,DCDC2
71102_at,PCYT1B
71115_i_at,EMB
71117_f_at,EMB
71119_at,PLD1
71121_r_at,MED6
71123_at,DLC1
71125_at,MESDC2
71127_at,GLS2
71129_at,FBXL14
71134_at,LINC00313
71136_at,CNTD2
71138_at,GPR107
71142_at,WHAMMP3
71144_at,TNFRSF18
71149_at,LINC00644
71157_at,SH3RF2
71165_at,MYNN
71170_at,WDFY1
71174_r_at,RSAD2
71181_at,CNTNAP3///CNTNAP3B
71188_at,MRPL38
71192_r_at,PIAS2
71202_at,PYCR1///MYADML2
71204_at,CLDN23
71206_at,KCNA1
71211_at,TRMT1
71213_at,ZNF251
71225_at,C21orf62
71231_r_at,MKX
71238_at,NAT16
71249_at,MIRLET7DHG
71251_r_at,MGEA5
71270_at,XKR8///SMPDL3B
71272_at,HOMER1
71277_r_at,SOX7
71292_at,LIPH
71295_at,USP45
71297_at,YARS
71300_at,LINC00366
71301_at,FAM8A1
71308_at,SLC6A18
71324_at,SHPRH
71337_at,DCUN1D4
71343_at,PIBF1
71344_at,EIF2AK3
71347_at,NEBL-AS1
71350_at,WDR4
71356_at,ZNF223
71376_at,ZNF575
71381_at,FGF7
71382_at,CCDC37
71391_at,MFSD6L
71393_at,PRR7-AS1
71396_at,ZIC3
71401_at,ANKRD52
71403_s_at,CFDP1
71408_at,SOBP
71412_at,NHS
71414_at,FUNDC2
71429_at,BRD4
71432_at,ENPP1
71447_at,USP28
71448_at,HTR2A-AS1
71472_at,PTK2
71479_at,C11orf30
71484_i_at,ATAT1
71486_f_at,ATAT1
71487_at,STXBP5
71491_at,THAP7-AS1
71494_at,FAM135A
71498_at,TRIM73
71502_at,PDX1
71508_at,C7orf25
71522_r_at,EPT1
71533_at,SPINK6
71542_at,ASH1L-AS1
71551_at,DDX23
71574_at,AS3MT
71585_f_at,INSL6
71589_r_at,LRRC4
71591_at,TLR5
71593_at,INPP4B
71621_r_at,STX3
71625_at,PCSK7
71632_at,NOM1
71641_at,ADAMTSL1
71645_at,ERMAP
71651_at,PPP2R3B
71656_at,NPL
71658_at,GTF2H2B///GTF2H2C///GTF2H2
71664_at,RPTOR
71674_at,MIR3936
71680_at,MYO9A
71682_at,PAQR5
71684_at,RARS
71691_r_at,ZNF138
71702_at,RSPO2
71712_at,HIST2H2BB///HIST2H2BA///HIST2H2BF
71719_r_at,ZNF644
71729_at,C4orf36
71731_at,FAM118A
71735_at,LSG1
71766_at,ZSWIM8
71770_at,RORA
71779_at,DHODH
71781_at,ZNF549
71793_at,TTC17
71795_at,DENND1A
71797_r_at,INPP1
71799_at,PURB
71801_i_at,ANXA2
71803_f_at,ANXA2
71809_r_at,FAM46A
71811_r_at,GC
71813_at,CLEC4G
71824_at,ANK3
71832_r_at,ANKRA2
71834_at,ZNF33B
71845_at,FBXL22
71850_at,RPS19
71854_at,NME1
71876_at,C18orf54
71895_at,ATG13
71899_at,C21orf58
71909_s_at,SMIM9
71911_at,SMIM9
71919_at,POLN
71943_at,SLC16A2
71945_at,SLC16A2
71949_at,LSM5
71951_at,CHST6
71984_at,LUC7L2
71986_s_at,THSD4
71988_at,NDFIP1
71993_at,ARL5B
72013_at,ITGAL
72016_at,HECTD1
72024_at,CGB7///NTF4
72026_g_at,CGB7///NTF4
72028_r_at,NTF4
72035_at,H2AFY
72039_at,MED17
72049_at,SHARPIN
72051_at,SETX
72066_at,CASP8AP2
72111_r_at,PPP2CA
72137_at,TMEM163
72139_at,CLSPN
72185_r_at,ANKRD12
72191_at,FYTTD1
72195_at,HEPACAM
72202_f_at,FANCC
72216_at,GPAM
72229_i_at,A2M
72231_r_at,A2M
72238_at,UBN2
72246_at,B4GALNT4
72254_at,PDCD2
72256_at,SNX14
72261_s_at,ZNF655
72291_at,APEH
72292_at,TCERG1
72295_at,FOXN3
72298_at,DIP2A
72303_at,CNOT2
72306_r_at,ARID1A
72309_r_at,NAA20
72312_s_at,KCTD13
72333_at,KCNAB3
72348_f_at,DBF4
72355_at,BVES
72384_at,VTCN1
72412_at,EGLN1
72419_at,PDLIM7
72429_at,NASP
72433_at,COL20A1
72439_at,LUC7L
72441_at,PPP2R1B
72473_at,DAB2IP
72478_at,DRAM2
72487_at,TBX4
72497_at,L2HGDH
72506_at,SETD2
72510_at,NDST1
72517_at,SNTG1
72523_r_at,SREK1IP1
72530_at,CDCP1
72533_at,E2F7
72536_at,DACT3
72538_at,GRAMD1C
72552_at,ARHGAP21
72580_at,SLC5A10
72591_at,PTPRG
72597_at,COPE
72598_at,GINS2
72600_r_at,PTPLAD2
72602_at,ABCC4
72606_at,DUSP8P3///DUSP8P4///DUSP8P2///DUSP8P1
72612_r_at,ZNF141
72629_at,MUC3A
72632_at,CASZ1
72635_r_at,FAM65A
72643_i_at,ZNF551
72651_at,SETDB1
72653_at,TMEM17
72654_at,ZBED5
72666_at,ZNF397
72668_s_at,B3GNT4
72680_f_at,VPS4B
72682_r_at,VPS4B
72684_at,EEF1D
72688_at,RBAK
72692_r_at,SRRM1
72696_at,CNTN3
72713_at,RNF170
72721_at,SGPP2
72723_at,KLHL36
72726_at,TRMT44
72728_at,MIR1-2
72738_r_at,HOXB4
72745_at,GSKIP
72766_at,HNRNPU
72772_at,PIGX
72780_at,ZNF563
72785_at,PHF12
72788_at,NFATC2IP
72790_at,ILVBL
72794_at,CARD14
72798_at,LARP1B
72800_at,ARSA
72818_at,TMEM120B
72820_at,FAM53B
72831_at,KLF3
72841_at,EXOC4
72852_at,IL12RB1
72859_at,FADS2
72861_at,ERI2
72863_at,KIF26B
72868_at,SCARF2
72884_at,LEMD3
72885_at,ARMC8
72889_r_at,WHSC1L1
72897_at,AP1S1
72900_at,NBPF1
72908_at,C19orf80
72910_at,ADAM22
72924_at,ENO3
72926_at,ARMC9
72940_at,PJA2
72949_at,ZNF154
72953_at,NADSYN1
72957_r_at,EPC1
72965_f_at,RPL23A///RPL23AP2
72968_at,SYNE1
72970_g_at,SYNE1
72972_at,PLEKHA1
72976_at,LHX1
72978_at,FRG1B
72982_at,AP4M1
72986_at,MED21
72992_at,IL21R
72995_at,TCEA2
72998_at,MIR1245A
73001_r_at,ARHGEF10
73009_at,CEP112
73032_at,MAPK14
73049_at,ZNF512B
73055_at,WNT3
73060_at,SUSD2
73080_at,SOX21-AS1
73082_at,SMU1
73085_i_at,SPAG17
73091_at,CKB
73100_at,MACROD1
73112_at,EIF3M
73119_at,BHLHE41
73121_at,CDX2
73131_at,PODXL2
73133_at,CD177
73139_at,RNF207
73147_at,KLHL26
73155_at,SNX31
73171_at,FNIP2
73175_at,TNPO1
73177_at,CPSF2
73184_at,INTS6
73185_at,RRN3P3
73187_at,ARGFX
73189_at,PGD
73191_r_at,HIPK3
73195_at,CRBN
73212_at,ZNF790
73213_at,RTP4
73215_s_at,SDCCAG8
73222_at,ZNF687
73224_r_at,C10orf95
73227_r_at,GRIA2
73231_at,EFCAB12
73234_at,TTC28
73252_at,EPS8
73261_at,PAM
73265_i_at,MRPL41
73267_r_at,MRPL41
73279_at,GPR107
73284_at,NDUFA9
73294_at,CHRNB2
73315_at,METTL6
73322_at,PPP1R3E
73326_at,KIAA1551
73337_at,ZNF789
73349_at,PPAN///P2RY11
73354_i_at,FOXA2
73356_f_at,FOXA2
73361_at,CAPZA2
73367_at,BRSK2
73374_at,TTC33
73376_at,MYT1L
73382_at,SEPT2
73390_s_at,SERINC3
73392_at,HERC1
73396_at,CAPN10
73402_at,PAX9
73404_at,SESN1
73408_at,HERC1
73410_at,LCA5L
73414_at,NOP14-AS1
73424_r_at,KIF2B
73432_at,ISY1
73434_at,KIF19
73436_at,MAF
73442_at,ATAD3A
73450_at,GRIA2
73454_at,FBXO31
73459_at,CYGB
73461_at,SNX29
73477_at,BUB1B
73485_at,PRDX3
73490_r_at,KBTBD11
73511_at,EMG1///C1S
73521_at,KCNC4-AS1
73527_at,ATG16L2
73531_at,EIF2C1
73532_r_at,C1orf63
73548_at,RBM4B
73557_at,PGPEP1
73562_at,ITGB4
73572_at,FGFR2
73574_at,SPAG9
73575_at,CSMD2
73579_at,INO80B
73587_at,TLN1
73591_at,E2F2
73597_at,INTS3
73612_at,CPNE1///NFS1///RBM12
73641_at,ANKAR
73645_at,LINC00516
73651_f_at,C19orf53
73654_f_at,NFAT5
73659_at,KIAA1586
73661_s_at,C14orf39
73665_r_at,RPSAP58
73667_at,STAC3
73672_at,C9orf16
73685_r_at,TFPI
73687_at,PWWP2A
73690_at,C14orf39
73708_at,ZNF397
73711_at,AQP2
73723_at,PLEKHA8P1
73731_r_at,ANKRD12
73736_r_at,GAD2
73738_i_at,PDZD4
73740_r_at,PDZD4
73749_at,CABP7
73755_at,STARD13
73758_at,CCAR1
73760_at,KIAA1755
73768_r_at,PCBD2
73791_at,DNAJC21
73799_i_at,SHANK3
73802_r_at,SHANK3
73816_at,CHD2
73828_at,TEX19
73831_r_at,PLEKHA5
73838_r_at,RBMXL2
73842_at,ZDHHC12
73844_at,CELF6
73849_at,TMEM38A
73853_at,C11orf63
73859_at,SCXB///SCXA
73863_at,LY75
73865_r_at,C17orf97
73866_at,LETMD1
73869_at,CHST9
73888_r_at,HEMK1
73893_at,MMP28
73903_at,HOXC-AS2
73905_at,FBXW8
73915_at,CREM
73921_at,TMEM135
73928_at,ERICH1
73930_at,C6orf223
73938_at,SPARC
73943_at,TNRC6B
73949_at,ZNF449
73956_at,HIP1
73965_s_at,REV3L
73973_at,PRDM16
73974_at,TRIM43///TRIM43B///TRIM43CP
73976_i_at,SNED1
73978_r_at,SNED1
73980_at,CMTM6
73984_r_at,DYRK2
73997_at,ULK4P3///ULK4P2///ULK4P1
73999_at,ZNF815P
74001_at,AGMO
74003_at,GTDC1
74007_at,ZFYVE20
74022_at,SORBS2
74043_at,DEC1
74052_at,GMDS
74054_at,VPS53
74059_at,EXD2
74068_r_at,ZNF492
74079_at,WNK2
74096_at,TOP2A
74100_at,SH3YL1
74108_at,KAT6B
74113_at,NCKAP1L
74117_at,ZNF747
74133_r_at,HEXDC
74135_r_at,CYFIP2
74137_at,CC2D1B
74139_at,GIMAP8
74146_at,MCC
74153_r_at,SOBP
74154_at,ARHGAP24
74156_at,NUMB
74173_r_at,RAB32
74186_at,PTOV1-AS1
74188_at,NELL1
74190_g_at,NELL1
74192_at,NELL1
74203_at,KRIT1
74205_r_at,SPRN
74209_at,DNAH12
74214_at,ZNF471
74220_at,C19orf60
74224_at,GPR62
74231_at,UBE2DNL
74237_f_at,GTF2IP1///GTF2I
74251_at,ARRDC3
74267_at,SYNE2
74271_at,EPS15L1
74279_at,ATG16L2
74289_at,QKI
74296_at,PCNXL2
74304_at,C11orf86
74307_at,STXBP5
74311_at,ATP10D
74313_at,MAP7D3
74322_s_at,CACNA2D3
74337_at,C14orf166B
74339_at,GRB7
74345_g_at,DNAH17
74347_at,PGS1
74349_at,GOPC
74351_at,ABTB1
74353_r_at,ISLR2
74354_at,TMEM26
74357_at,GPC6
74367_at,SMARCE1
74385_s_at,SUPT5H
74401_at,ZNF26
74405_at,LINC00174
74409_at,CPVL
74418_r_at,RIN3
74437_at,CCDC172
74442_at,DNAJB6
74447_at,MXI1
74449_at,FZD4
74451_at,ZEB1
74454_at,ZFC3H1
74468_at,MTBP
74474_at,ERI2
74480_at,GDAP1L1
74484_at,XRCC3
74486_at,MICALL2
74492_at,WHSC1
74496_at,KIF19
74508_at,PINK1-AS
74513_at,PDS5A
74515_at,PDS5A
74517_at,TET1
74519_s_at,TNPO1
74522_at,GTF2H3
74524_at,TERF2
74528_s_at,IRF7
74530_s_at,LSM14B
74531_s_at,SFPQ
74534_at,TNP1
